Sentence,Hyperbole,Metaphor
"it be held there long under attentive consideration, it is contemplation: when ideas float in our mind, without any reflection or regard of the understanding, it is that which the French call reverie; our language has scarce a name for it: when the ideas",1,1
"Stewart, 38, fashions himself as a stop-the-bulldozers crusader who wants to distill the election down to a single issue.",1,1
"The ""tactical"" are still the red-headed stepchild to the NRA and NSSF and in the public's mind compared to the ""red blooded american hunters.""",1,1
"Tsunami Of Poverty Hits Western Europe Too Wednesday, August 29, 2012 17:09",1,1
"â€œThere have been other wealthy candidates, nobody is out to demonize wealth .â€",1,1
"Hook one of those anti gun leaders up to a car battery: before you even give them a high voltage vasectomy, the cowards would admit its all about punishing gun owners and more importantly, pro gun organizations for their support of conservative politicians",1,0
"Well bobby welcome to the real world where it's hyper critical when a senate candidate says something stupid like "" legitimate rape"" and not important at all when the presidents administration fails to protect its foriegn service employees and lies about why they died.",1,0
And a few thousand dollars in court costs is nothing compared to the cost of gun violence - an estimated 100 billion dollars each year.,1,1
"After all, morons pay taxes , too.",1,1
"If you hail from the public school system -- funded with money confiscated from you and poured through a clogged bureaucracy in DC, you get less dollars back into the classrooms for your kids -- you know nothing about the Constitution.",1,1
"Re: "".. so voters booted them out in 2010 elections .. "" (& Now Have Voters Remorse) In reply to BMWX5, Sep 10, 2011 To which I say, you and some other Obama haters need to start wising up and stop living / dwelling in the past; as I, the majority of Americans and even the entire educated world have now seen how worst things have become since: ""voters booted them out in 2010 elections"".",1,1
That simple chunk of metal has become the epicenter of a gun control firestorm .,1,1
Â» RE: I'd eat my gun before living in So Cal Posted by: sashi,1,1
Inside Bush's FDA: A perpetual leaker of insider information and the slipshod testing of generic drugs,1,0
Repeated re-election intoxicates ; it makes average men believe they are larger and wiser than the image they see in the morning mirror.,1,1
"I think electoral reform would change most of these issues without the requirement of the gun , though getting them deal with electoral reform is like kicking the lion in the face.",1,0
"Our country was born and baptized in the shadow of violence, with a healthy skepticism/ hatred towards government .",1,1
"All the advances made in the Soviet Union were made by the workers while the worthless parasitic bureaucracy leeched off them, leant on them, and then sold them out.",1,1
That stretched range reached a many impassioned in a dramatization of ObamaCare .,1,1
"These converts felt success and happiness were being taken from them by a vast conspiracy, which was composed of the government and its life-sucking taxes ; the Jews, who were perceived as controlling the government; and the â€˜mud people,â€™ who stole the jobs rightfully belonging to white people.",1,1
