Sentence,Hyperbole,Metaphor
"All in all, the eatery is a breakfast bargain, with enough different components to keep boredom at bay.",1,1
It is a long time now since I knew that acute moment of bliss that comes from putting parched lips to a cup of cold water.,1,0
"Her face, which had always been long, was now positively equine.",1,1
But her own life was often stranger than any action-packed fiction plot.,1,0
I'm not going to take this crap any more.,1,1
"He that falls into sin is a man; that grieves at it, is a saint; that boasteth of it, is a devil",1,1
"For our momentary lightness of affliction works out for us, more and more surpassingly, an eternal weight of glory.",1,0
The white one looks like something that belongs in the toy aisle and the black one gets so disgustingly dirty that it's embarrassing to use in public.,1,0
"All the walls were painted a sickly green: the same colour, thought Marie, as mushy peas.",1,1
Persuading Chris to buy a round of drinks is like getting blood out of a stone.,1,1
"Carbon trading, based on dubious economics, has become a massive scandal, replete with overgenerous emissions allowances, misreporting and fictitious projects.",1,0
Her voice sounded wooden and lifeless as she struggled to control her feelings.,1,1
His rebuff thoroughly deflated me.,1,0
Everyone on the packed stage is singing the most complex music at speeds that are almost unreasonable.,1,0
They would take out their vengeance and fury on exam papers.,1,1
They ramped and raged like a pack of trapped beasts.,1,0
Then that silly season when the oil rigs blew like bottles in a crate of excited stout.,1,0
The new movie is a killer.,1,1
"He is alike to datura, the dependence blood is a nutrient, has deadly perilous, cruel sanguinary, so, he is too standing single.",1,1
"I cope with my quarry will not be soft-hearted, targeting, Fierce bite, no matter how strong the other side is !",1,0
"And no, Bill, I wasn't talking about sex - you've got a one-track mind!",1,1
She's pretty well banking on Jamie or Gary being a perfect match.,1,0
She worked her fingers to the bone to provide a home and food for seven children.,1,1
Her nerves were stretched to breaking point.,1,1
Being totally alone is my idea of hell on earth.,1,1
I nearly died of shame!,1,0
The child devours fairy tales.,1,1
Thoughtlessly Thou hast put to death my virtue and my sin alike!,1,0
A smile is nature's best antidote for discouragement.,1,1
It's all utterly senseless and pointless; a matter of misplaced curiosity.'.,1,0
"Unless the philosophers rule as kings or those now called kings, genuinely philosophize, there will be no rest from the ills for the cities, ?! he says, right?",1,0
Beside him the Empress's face was stretched taut with misery.,1,1
They tumbled backwards together in a happy heap.,1,0
"Outside, the mob surged around me, retiring and returning like a spring tide.",1,1
My patience is almost worn away by their endless quarrel.,1,1
It was just another Tuesday at the office as the businesslike Braves discussed their undoing.,1,0
Nothing impure could touch his lasting image of Regine.,1,0
"Every time our inner light tries to glow, our minds react like a sledgehammer, with harsh thoughts that inhibit us from moving forward.",1,1
"She looked up and saw him, resplendent in his formal clothes, his face radiant as he leaned over the microphone.",1,1
The swirling wind from my rotors whipped the fatigues of interested watchers to a blur.,1,0
The greatest honor history can bestow is the title of peacemaker.,1,0
Carter turned to her with a sadistic glint in his eye.,1,1
The island is truly a heaven on earth.,1,1
Just one lone ancestor standing in the spotlight without anyone or anything else the current generation can blame.,1,0
"Mademoiselle Vaubois , perfect in her style , was ermine of stupidity without a single spot of intelligence.",1,1
He racked off a miserable story.,1,0
Your son's a little demon.,1,1
"Resistance to control makes Nicky a problem, a deviant, a troublemaker.",1,0
"He's absolutely everywhere these days, and just about the only place you won't see the 32-year-old Oscar nominee/host's squinty, smirking face is on a milk carton.",1,0
He has an endless supply of corny jokes.,1,0
"What I do not like city is buckish with blatant, the dip with university professional geography immerses, the consciousness of zoology and environment makes I more love halcyon with green.",1,0
"In stunned silence, her eyes huge, disbelieving, she stared at him.",1,0
"She had been literally rejuvenated , resuscitated, brought back from the lip of the grave.",1,1
"In savasana, I did not see a corpse, or feel like this was an end, but instead saw eternity and the endlessness of our breath.",1,1
His last film was hysterical.,1,0
An ordinary mind is a mind of utmost freedom and unsurpassed joy.,1,1
Only an idiot would do that.,1,0
Come and see us whenever you're in town - you're always welcome/you'll always be welcome.,1,0
"So Deuteronomy's content, which are these farewell speeches and the death and the burial of Moses, are a fitting capstone to the Pentateuchal narrative.",1,1
"To follow upon the advantages already won, there is today an army of women united, patient, invincible.",1,0
The wheel of history rolls forward with an irresistible force.,1,1
I couldn't understand a single word she said!,1,0
"Even as you learn to endure the slaughter McCarthy describes, you become accustomed to the book's high style, again as overtly Shakespearean as it is Faulknerian.",1,1
I am terrified to look at them because I know I will collapse into helpless laughter.,1,1
They rounded off with a scabby diatribe against the black choir in the Seventh Day Adventist Church whose voices lit the evenings.,1,1
Something seemed to tighten and die inside her.,1,0
Another dimension of flexibility and mobility? Or the end of nomadism?,1,0
"I was, to coin a phrase, gobsmacked!",1,0
But this is only a tongue-tip taste of the political dilemma Harrison faces.,1,1
He carried on his life in the full glare of publicity.,1,1
Youth means limitless possibilities.,1,0
An old maid has one consolation: she can never be a widow no matter who dies.,1,0
Nation that have is oppress for century is now fighting for a place in the sun.,1,0
The perfection of your arms would add glory to kingly splendour with their touch.,1,0
Why didn't the wraith blow them to pieces in the 38 mins they were sitting in orbit?,1,0
Beaten by the worst team in the league? They'll never live it down!,1,0
Nothing could have been more repugnant to him.,1,0
And that tosses it into the lap of the medical establishment.,1,0
His son had an obsessive drive to gain his father's approval.,1,0
But the die is cast for a protracted weakening of the world's biggest spender.,1,0
The trouble is his background keeps coming back to haunt him like last night's sushi.,1,0
Many words cut [hurt] more than swords,1,0
His fans agree that chef Julian 's food is beyond compare.,1,1
Yet we must never underestimate sin's deadliness.,1,0
A lie can travel half way around the world while the truth is putting on its shoes,1,1
He is probably up to his neck in debt.,1,1
"What his mind could supply at call, or gather in one excursion, was all that he sought, and all that he gave.",1,0
"Unlined foreheads, bagless eyes, supple skin: today's celebrities have stopped ageing.",1,0
"Despite of I cannot already understand mother tongue, only think that I hold fill-up mare's milk son in both hands, when the liquor golden cup, my blood begin to burn right away!",1,0
He is plunging into an abyss of despair.,1,1
But the radiance and exuberance have never abandoned her.,1,0
There I was writhing in agony on the floor and you lot were pissing yourselves laughing!,1,0
But it takes a life time to forget sb.,1,0
Your conversation about linguistics was all double Dutch to me!,1,1
He's made an absolute shambles of his career.,1,0
"When end-users try to benefit, though, there's just frustration: annoying misinstallations, configuration mysteries, irreproducible drop-outs, or programs that simply do nothing.",1,0
I was all of a sweat before the exam.,1,1
I wanted to live deep and suck out all the mar-row of life! To put to rout all that was not life.,1,0
He was pummeled by Dallas' pass rush when the teams last played in the 1994 season opener.,1,0
Both are thus in love with a Galatea that is caught in an unstoppable archaeology of death and war-making.,1,1
These days it seems we must all submit to the tyranny of the motor car.,1,0
Gosh! My muscles is going to ache all over tomorrow.,1,0
"Again mining the jazz motif, Leight presents a four-character work that rarely riffs, much less vamps.",1,0
From the sublime to the ridiculous is only one step,1,0
The ugliness of the city would make an aesthete like you shudder.,1,0
"But this week your hopes could be raised then dashed by a series of puzzling, even infuriating, developments.",1,0
Her aviary at Prides was a carnival of sentient color and living sound.,1,0
"You allured him with beauty, made him captive, and crowned the formless death with fadeless form.",1,1
Satisfaction vanished with the snap of a twig.,1,1
Then I looked up lymphoma in a medical book and almost scared myself to death!,1,1
A walk in the fresh air will pep me up.,1,0
"She shivered inwardly, a delicious sensation, and felt her heart break into a gallop.",1,1
Beauty lies in the love's eyes.,1,0
Every cloud have a silver lining.,1,1
Any plans I'd had for the weekend were by now well and truly snookered.,1,0
It drives me up the wall.,1,1
He make a clean sweep of the ungodly nations.,1,1
I have seen judges reeling in the throes of it.,1,0
"Standing there, on top of the world, my tiredness vanished.",1,1
How far are you prepared to stretch the long arm of coincidence?,1,1
She had been as light as a feather to carry and her small hands were as cold as ice.,1,0
No effort has been stinted in polishing this painfully derivative picture as if it were a diamond instead of strictly paste.,1,1
I felt as if I was in limbo.,1,1
So Giuliani felt free to insult the United Nations and stage this infantile parking snit.,1,0
She was pushing his body to the limits of its endurance to divert and ease the strain on his spirit.,1,0
"You think he's an idiot, because he gets things wrong-the background, the politics, Walter, us.",1,0
The twins fight tooth and nail over the slightest disagreement.,1,1
God hath forsaken him: persecute and take him ; for there is none to deliver him.,1,0
"If one day I can forget you, how I wish is now.",1,0
"Michelle, set on being an actress, wasn't interested at first, but in the end she swallowed her pride.",1,1
Stephen Legate looked out of phase in the unison tableaux.,1,1
"On this stingy substitute rain, the behemoth of all living things, the redwood , thrives.",1,1
Despite the turmoil within her a small ironic smile lifted the corners of her mouth.,1,0
"I'm not saying that Uncle Sam can kick back on a lawn chair, sipping on an iced tea, because I haven't come across anyone who's man enough to go toe-to-toe with me on my best day.",1,0
The bleak breeze blights the bright blue blossom.,1,0
So much for complete bloody control.,1,0
The novel spun a miasma of death and decay.,1,1
"The blue mausoleum produces the good wine, is passing the mellow tulip's fragrance, seems abundantly in the jade bowl just likes the amber crystal clear.",1,0
I heard the machine that he rubs across the floor start up with that horrendous howl that makes my teeth curl.,1,1
Her illness was Nature's way of telling her to do less.,1,0
"It invades the thoughts and senses of its enemies, it penetrates their every defence, sending them visions of glory, titillating their egos, caressing their inner desires to lead them astray.",1,0
Her children's death is a fatal blow on her.,1,1
It's so perfect that they should effortlessly spawn the very stuff which facilitates the clicking of needles and clucking of tongues.,1,1
You will be as worthless as a piece of dirt on the sole of my shoe.,1,1
"On matters of style, swim with the current, on matters of principle, stand like a rock",1,1
Only professional decorum prevented me from picking up the remaining telltale and gnawing greedily away.,1,0
Get out! Or she'll zap you into a frog!,1,1
Therefore the Venetian world makes him their scapegoat.,1,1
The one best cricket bat of his youth was becoming the one best Midvale.,1,1
That night the little creature did not stop crying and its pitiful little squeak tore at Aggie's heartstrings.,1,1
"Artist Vitaly Komar writes, ""In the agitprop of the late 1950s and 1960s, the sickle's edge began lengthening until it resembled a comet's tail -- or a rocket's trail.",1,1
You mean the world to me.,1,1
"I will meet them as a bear that is bereaved of her whelps, and will rend the caul of their heart, and there will I devour them like a lion: the wild beast shall tear them.",1,1
"It is the cunning of reason, no doubt, but one has to recognize the cunning of the reasoner, and take one's hat off to him.",1,1
Don't act so all-fired high and mighty.,1,1
"And albatrosses, which stay together their entire lives, keep it interesting by entertaining each other with goofy ritual dancing.",1,0
"She will make my misery more tolerable, my slavery only half-slavery, my exile less a banishment.",1,1
"There would be a mass exodus of people, a meltdown of the financial system, a city torn apart.",1,1
That's a lot/a load of bull!,1,1
