Sentence,Hyperbole,Metaphor
The NRA will lose ground by attaching its name to this case and should keep its nose out.,0,1
An animator must be a very visual person that can also turn ideas into either lifelike or cartoon style drawings.,0,0
"Some look like flashlights, but if we talk ""metal detector avoiding,"" I have seen some wooden guns before.",0,0
"I almost never stray into Gun Control , but when I do, I always come away with an education.",0,1
This unit provides the student with a thorough understanding of clinical applications of nutrition and the utilisation of biochemical compounds to enhance animal well-being through nutritional supplementation.,0,0
Important firearms sites .,0,0
In the case of gun control that emotional response is hate for guns and fear of injury and death.,0,0
"The avian flu 's jump to humans was first detected in 1997, although all the human deaths reported so far (about 60 since 2003) have been due to transmission from animals to humans.",0,1
"it be held there long under attentive consideration, it is contemplation: when ideas float in our mind, without any reflection or regard of the understanding, it is that which the French call reverie; our language has scarce a name for it: when the ideas",1,1
"These differences in the fairness of state income taxes are due to three broad policy choices: a graduated or flat-rate tax structure ; use of exemptions and tax credits that benefit low-income taxpayers, and use of regressive tax loopholes that benefit the wealthiest taxpayers.",0,1
Be eighteen (18) years of age on the day of the next election .,0,0
I will agree with your position in the issue of the 2nd amendment .,0,0
"... a contact for information about a place of interest to, for example, an enterprise developer; a person or organization in position to provide a location package, such as a local development representative who may also be in position to arrange incentive offers and cut red tape when called on for assistance.",0,1
"Stewart, 38, fashions himself as a stop-the-bulldozers crusader who wants to distill the election down to a single issue.",1,1
those things are not gun control laws since they are about use. we are talking about laws that are designed to prevent people who can own guns from obtaining additional guns or types of guns. and every improper use of a gun is already illegal,0,0
"The ""tactical"" are still the red-headed stepchild to the NRA and NSSF and in the public's mind compared to the ""red blooded american hunters.""",1,1
"Tsunami Of Poverty Hits Western Europe Too Wednesday, August 29, 2012 17:09",1,1
"Medicare (DMERC) pays for the lens portion of the cost but not, as yet, the fitting fee.",0,0
"â€œThere have been other wealthy candidates, nobody is out to demonize wealth .â€",1,1
"Hook one of those anti gun leaders up to a car battery: before you even give them a high voltage vasectomy, the cowards would admit its all about punishing gun owners and more importantly, pro gun organizations for their support of conservative politicians",1,0
"A recent report by security vendor McAfee also found there is a risk that cybercrime may further slow the speed of UK economic recovery, a sentiment echoed by the joint architect of the UK's Police Central e-Crime Unit, Charlie McMurdie.",0,1
"Well bobby welcome to the real world where it's hyper critical when a senate candidate says something stupid like "" legitimate rape"" and not important at all when the presidents administration fails to protect its foriegn service employees and lies about why they died.",1,0
"Often, breast cancer spreads to these lymph nodes, thereby entering the lymphatic system and allowing the cancer to spread to other parts of the body.",0,1
"They are, or can be, instruments of deep democracy , rooted in local context and able to mediate globalizing forces in ways that benefit the poor.",0,1
And a few thousand dollars in court costs is nothing compared to the cost of gun violence - an estimated 100 billion dollars each year.,1,1
Our five APWU Grassroots Coordinators travelled throughout their respective regions to work with the AFL-CIO Labor 2008 program that assure that the interests of workers were addressed strongly in this election .,0,0
Taking the side of the Boxers constituted the final attempt of the conservative imperial court to turn back time.,0,0
I'll bet more NEW women gun owners are buying .40 and 9mm. I think 22 is most men using it for target practice.,0,0
"â€œAs strong defenders of democracy, we must insist that the Iraqis be allowed to nurture their own flavor of democracy .â€",0,1
"In some developing countries, hotels literally drain the local communities of water, electricity and food, creating pockets of additional poverty where it otherwise would not exist.",0,1
"After all, morons pay taxes , too.",1,1
"If you hail from the public school system -- funded with money confiscated from you and poured through a clogged bureaucracy in DC, you get less dollars back into the classrooms for your kids -- you know nothing about the Constitution.",1,1
"Overall, New Hampshire remains ranked 49th among states in combined average state and local tax burden .",0,1
"Today, itâ€™s ruled by people who cultivate poverty (here in MN we call these people â€œCitidiotsâ€) in order to create dependence.",0,1
Lower taxes on capital gains is to encourage people to save.,0,0
